ticker,company,year,quarter,sentiment_score,positive_count,negative_count,sentiment,filing_path
GOOGL,Alphabet Inc.,2021,3,0.9009287925696594,307,16,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-21-000041/full-submission.txt
GOOGL,Alphabet Inc.,2024,4,0.893491124260355,320,18,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-24-000115/full-submission.txt
GOOGL,Alphabet Inc.,2023,2,0.8647058823529412,317,23,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-23-000041/full-submission.txt
GOOGL,Alphabet Inc.,2023,1,0.8734939759036144,311,21,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-23-000013/full-submission.txt
GOOGL,Alphabet Inc.,2021,2,1.0,288,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-21-111624/full-submission.txt
GOOGL,Alphabet Inc.,2022,2,0.9413333333333334,364,11,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-22-167375/full-submission.txt
GOOGL,Alphabet Inc.,2023,2,0.9519519519519519,325,8,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-23-163590/full-submission.txt
GOOGL,Alphabet Inc.,2023,2,0.9667774086378738,296,5,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-23-000034/full-submission.txt
GOOGL,Alphabet Inc.,2024,2,1.0,288,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-24-157498/full-submission.txt
GOOGL,Alphabet Inc.,2023,1,1.0,291,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-23-000005/full-submission.txt
GOOGL,Alphabet Inc.,2022,1,0.9931740614334471,292,1,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-22-000009/full-submission.txt
GOOGL,Alphabet Inc.,2023,3,0.8931750741839762,319,18,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-23-000067/full-submission.txt
GOOGL,Alphabet Inc.,2023,2,1.0,288,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-23-110657/full-submission.txt
GOOGL,Alphabet Inc.,2024,1,0.8805970149253731,315,20,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-24-000014/full-submission.txt
GOOGL,Alphabet Inc.,2022,3,0.9862068965517241,288,2,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-22-193655/full-submission.txt
GOOGL,Alphabet Inc.,2024,3,1.0,290,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-24-000085/full-submission.txt
GOOGL,Alphabet Inc.,2024,3,0.879154078549849,311,20,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-24-000076/full-submission.txt
GOOGL,Alphabet Inc.,2024,2,0.8798798798798799,313,20,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-24-000047/full-submission.txt
GOOGL,Alphabet Inc.,2022,3,0.9931506849315068,291,1,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-22-192153/full-submission.txt
GOOGL,Alphabet Inc.,2024,2,1.0,306,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-24-160721/full-submission.txt
GOOGL,Alphabet Inc.,2024,3,1.0,290,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-24-000097/full-submission.txt
GOOGL,Alphabet Inc.,2021,2,0.9015384615384615,309,16,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-21-000018/full-submission.txt
GOOGL,Alphabet Inc.,2022,4,0.8921568627450981,386,22,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-22-000085/full-submission.txt
GOOGL,Alphabet Inc.,2021,3,1.0,289,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-21-210942/full-submission.txt
GOOGL,Alphabet Inc.,2022,2,0.8827160493827161,305,19,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-22-000025/full-submission.txt
GOOGL,Alphabet Inc.,2023,1,0.9795221843003413,290,3,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-23-011424/full-submission.txt
GOOGL,Alphabet Inc.,2024,4,1.0,288,0,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001193125-24-238769/full-submission.txt
GOOGL,Alphabet Inc.,2023,4,0.8841463414634146,309,19,positive,data/raw/earnings_filings/sec-edgar-filings/GOOGL/8-K/0001652044-23-000088/full-submission.txt
