ticker,company,year,quarter,report_date,sentiment_score,sentiment,return_1d,target,pre_return,pre_volume_change,pre_rsi
TSLA,Tesla Inc.,2023,3,2023-08-15 00:00:00-04:00,0.8823529411764706,positive,-3.1593408302874493,-1,-0.938079087895276,-2.018286869302419,30.572462662069526
TSLA,Tesla Inc.,2022,4,2022-11-15 00:00:00-05:00,0.9923954372623575,positive,-3.857627852399581,-1,-0.5030061453996805,1.4119300697941306,30.728732364570618
TSLA,Tesla Inc.,2021,2,2021-05-17 00:00:00-04:00,0.8509316770186336,positive,0.18029458511532592,0,-2.535887881455326,12.15783678053965,22.2089095797554
TSLA,Tesla Inc.,2023,4,2023-11-15 00:00:00-05:00,0.8658536585365854,positive,-3.8090924639652135,-1,1.4152173873562846,6.108011034531851,64.88031474857891
TSLA,Tesla Inc.,2024,1,2024-02-15 00:00:00-05:00,0.8051575931232091,positive,-0.24943876658132247,0,0.14492023863911907,-5.264851302859304,56.156337941559876
TSLA,Tesla Inc.,2022,4,2022-11-15 00:00:00-05:00,0.9280575539568345,positive,-3.857627852399581,-1,-0.5030061453996805,1.4119300697941306,30.728732364570618
TSLA,Tesla Inc.,2023,2,2023-05-15 00:00:00-04:00,1.0,positive,0.1021930644472091,0,-0.23246414569699114,11.360898291982076,55.93701221436909
TSLA,Tesla Inc.,2023,3,2023-08-15 00:00:00-04:00,0.9923954372623575,positive,-3.1593408302874493,-1,-0.938079087895276,-2.018286869302419,30.572462662069526
TSLA,Tesla Inc.,2022,2,2022-05-16 00:00:00-04:00,0.922077922077922,positive,5.141017778952928,1,-2.1578687116434976,8.53845444813827,27.664897689097742
TSLA,Tesla Inc.,2023,2,2023-05-15 00:00:00-04:00,0.9523809523809523,positive,0.1021930644472091,0,-0.23246414569699114,11.360898291982076,55.93701221436909
TSLA,Tesla Inc.,2021,2,2021-05-17 00:00:00-04:00,1.0,positive,0.18029458511532592,0,-2.535887881455326,12.15783678053965,22.2089095797554
TSLA,Tesla Inc.,2021,2,2021-05-17 00:00:00-04:00,1.0,positive,0.18029458511532592,0,-2.535887881455326,12.15783678053965,22.2089095797554
TSLA,Tesla Inc.,2021,1,2021-02-16 00:00:00-05:00,1.0,positive,0.24238672272685058,0,-1.3681393808000484,20.934182052527685,38.33501750214649
TSLA,Tesla Inc.,2022,1,2022-02-15 00:00:00-05:00,0.9555555555555556,positive,0.10407532409399955,0,-0.6675005078202509,3.647724400814969,45.16663587927746
TSLA,Tesla Inc.,2024,2,2024-05-15 00:00:00-04:00,0.9847908745247148,positive,0.4885285464054867,0,-0.004830790567194043,4.072420203293097,59.64956338653539
TSLA,Tesla Inc.,2024,2,2024-05-15 00:00:00-04:00,1.0,positive,0.4885285464054867,0,-0.004830790567194043,4.072420203293097,59.64956338653539
TSLA,Tesla Inc.,2022,3,2022-08-15 00:00:00-04:00,0.8957055214723927,positive,-0.8912075793144236,0,0.856269540789356,-5.578939239617362,63.02383526891221
AMD,Advanced Micro Devices Inc.,2024,2,2024-05-15 00:00:00-04:00,0.48717948717948717,positive,1.8475587036212104,1,-0.16038404069853351,-1.106732762142535,51.62396915015289
AMD,Advanced Micro Devices Inc.,2024,1,2024-02-15 00:00:00-05:00,0.4847161572052402,positive,-1.634984996300548,-1,0.9092681547800229,2.681206902161491,48.35119853900855
AMD,Advanced Micro Devices Inc.,2022,4,2022-11-15 00:00:00-05:00,0.6074766355140186,positive,-4.805559337896048,-1,3.3266884203771796,15.291140521008582,68.59962714332579
AMD,Advanced Micro Devices Inc.,2023,2,2023-05-15 00:00:00-04:00,0.5113350125944585,positive,4.188913518621096,1,1.2116954413871883,-2.6218604395304297,60.834044177839566
AMD,Advanced Micro Devices Inc.,2022,1,2022-02-15 00:00:00-05:00,0.8195876288659794,positive,-3.1118784401993005,-1,-1.4172910839019015,12.777243715324316,52.41910550592989
AMD,Advanced Micro Devices Inc.,2021,2,2021-05-17 00:00:00-04:00,1.0,positive,-0.2813115608575778,0,-1.069527663067491,2.351122546985452,19.22637600325659
AMD,Advanced Micro Devices Inc.,2024,1,2024-02-15 00:00:00-05:00,0.9376623376623376,positive,-1.634984996300548,-1,0.9092681547800229,2.681206902161491,48.35119853900855
AMD,Advanced Micro Devices Inc.,2024,4,2024-11-15 00:00:00-05:00,0.992619926199262,positive,2.9873973029155954,1,-1.5046457251159229,1.2963334519586067,34.37556466421485
